_key,qmof_id,name,info/formula,info/formula_reduced,info/mofid/mofid,info/mofid/mofkey,info/mofid/smiles_nodes/0,info/mofid/smiles_linkers/0,info/mofid/smiles,info/mofid/topology,info/natoms,info/pld,info/lcd,info/density,info/volume,info/symmetry/spacegroup,info/symmetry/spacegroup_number,info/symmetry/spacegroup_crystal,info/symmetry/pointgroup,info/synthesized,info/source,info/doi,inputs/pbe/theory,inputs/pbe/pseudopotentials/0,inputs/pbe/pseudopotentials/1,inputs/pbe/pseudopotentials/2,inputs/pbe/pseudopotentials/3,inputs/pbe/pseudopotentials/4,inputs/pbe/encut,inputs/pbe/kpoints/0,inputs/pbe/kpoints/1,inputs/pbe/kpoints/2,inputs/pbe/gamma,inputs/pbe/spin,outputs/pbe/energy_total,outputs/pbe/energy_vdw,outputs/pbe/energy_elec,outputs/pbe/net_magmom,outputs/pbe/bandgap,outputs/pbe/cbm,outputs/pbe/vbm,outputs/pbe/directgap,outputs/pbe/bandgap_spins/0,outputs/pbe/bandgap_spins/1,outputs/pbe/cbm_spins/0,outputs/pbe/cbm_spins/1,outputs/pbe/vbm_spins/0,outputs/pbe/vbm_spins/1,outputs/pbe/directgap_spins/0,outputs/pbe/directgap_spins/1,inputs/hle17/theory,inputs/hle17/pseudopotentials/0,inputs/hle17/pseudopotentials/1,inputs/hle17/pseudopotentials/2,inputs/hle17/pseudopotentials/3,inputs/hle17/pseudopotentials/4,inputs/hle17/encut,inputs/hle17/kpoints/0,inputs/hle17/kpoints/1,inputs/hle17/kpoints/2,inputs/hle17/gamma,inputs/hle17/spin,inputs/hse06_10hf/theory,inputs/hse06_10hf/pseudopotentials/0,inputs/hse06_10hf/pseudopotentials/1,inputs/hse06_10hf/pseudopotentials/2,inputs/hse06_10hf/pseudopotentials/3,inputs/hse06_10hf/pseudopotentials/4,inputs/hse06_10hf/encut,inputs/hse06_10hf/kpoints/0,inputs/hse06_10hf/kpoints/1,inputs/hse06_10hf/kpoints/2,inputs/hse06_10hf/gamma,inputs/hse06_10hf/spin,inputs/hse06/theory,inputs/hse06/pseudopotentials/0,inputs/hse06/pseudopotentials/1,inputs/hse06/pseudopotentials/2,inputs/hse06/pseudopotentials/3,inputs/hse06/pseudopotentials/4,inputs/hse06/encut,inputs/hse06/kpoints/0,inputs/hse06/kpoints/1,inputs/hse06/kpoints/2,inputs/hse06/gamma,inputs/hse06/spin,outputs/hle17/energy_total,outputs/hle17/energy_vdw,outputs/hle17/energy_elec,outputs/hle17/net_magmom,outputs/hle17/bandgap,outputs/hle17/cbm,outputs/hle17/vbm,outputs/hle17/directgap,outputs/hle17/bandgap_spins/0,outputs/hle17/bandgap_spins/1,outputs/hle17/cbm_spins/0,outputs/hle17/cbm_spins/1,outputs/hle17/vbm_spins/0,outputs/hle17/vbm_spins/1,outputs/hle17/directgap_spins/0,outputs/hle17/directgap_spins/1,outputs/hse06_10hf/energy_total,outputs/hse06_10hf/energy_vdw,outputs/hse06_10hf/energy_elec,outputs/hse06_10hf/net_magmom,outputs/hse06_10hf/bandgap,outputs/hse06_10hf/cbm,outputs/hse06_10hf/vbm,outputs/hse06_10hf/directgap,outputs/hse06_10hf/bandgap_spins/0,outputs/hse06_10hf/bandgap_spins/1,outputs/hse06_10hf/cbm_spins/0,outputs/hse06_10hf/cbm_spins/1,outputs/hse06_10hf/vbm_spins/0,outputs/hse06_10hf/vbm_spins/1,outputs/hse06_10hf/directgap_spins/0,outputs/hse06_10hf/directgap_spins/1,outputs/hse06/energy_total,outputs/hse06/energy_vdw,outputs/hse06/energy_elec,outputs/hse06/net_magmom,outputs/hse06/bandgap,outputs/hse06/cbm,outputs/hse06/vbm,outputs/hse06/directgap,outputs/hse06/bandgap_spins/0,outputs/hse06/bandgap_spins/1,outputs/hse06/cbm_spins/0,outputs/hse06/cbm_spins/1,outputs/hse06/vbm_spins/0,outputs/hse06/vbm_spins/1,outputs/hse06/directgap_spins/0,outputs/hse06/directgap_spins/1,inputs/pbe/pseudopotentials/5,inputs/hle17/pseudopotentials/5,inputs/hse06_10hf/pseudopotentials/5,inputs/hse06/pseudopotentials/5,info/mofid/smiles_linkers/1,info/mofid/smiles_nodes/1,inputs/pbe/pseudopotentials/6,info/mofid/smiles_linkers/2,inputs/hle17/pseudopotentials/6,inputs/hse06_10hf/pseudopotentials/6,inputs/hse06/pseudopotentials/6,info/mofid/smiles_nodes/2,info/mofid/smiles_linkers/3,info/mofid/smiles_linkers/4,info/mofid/smiles_linkers/5
qmof-830ed1c,qmof-830ed1c,ABAVIJ_FSR,Co4C48H32N8O16,CoC12H8N2O4,[Co].[O-]C(=O)c1ccncc1 MOFid-v1.rtl.cat0,Co.TWBYWOBDOCUKOW.MOFkey-v1.rtl,[Co],[O-]C(=O)c1ccncc1,[Co].[O-]C(=O)c1ccncc1,rtl,108,2.36128,4.21176,1.5576436532530995,1292.6431803668982,Cc,9,monoclinic,m,true,CSD,https://doi.org/10.1039/b404485a,PBE-D3BJ,Co 02Aug2007,H 15Jun2001,C 08Apr2002,N 08Apr2002,O 08Apr2002,520,2,2,1,true,true,-759.99607759,-8.60846,-751.38761759,12,0.345448,1.09114,0.745692,false,1.5779139999999998,0.345448,2.129129,1.09114,0.551215,0.745692,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-5bd4a24,qmof-5bd4a24,ABAVOP_FSR,Co4C48H32N8O16,CoC12H8N2O4,[Co].[O-]C(=O)c1ccncc1 MOFid-v1.rtl.cat0,Co.TWBYWOBDOCUKOW.MOFkey-v1.rtl,[Co],[O-]C(=O)c1ccncc1,[Co].[O-]C(=O)c1ccncc1,rtl,108,2.14542,3.27957,1.6161385953036274,1245.8569157808674,P2_1/c,14,monoclinic,2/m,true,CSD,https://doi.org/10.1039/b404485a,PBE-D3BJ,Co 02Aug2007,H 15Jun2001,C 08Apr2002,N 08Apr2002,O 08Apr2002,520,2,2,1,true,true,-760.10336214,-8.83988,-751.26348214,12,0.342645,1.308492,0.965847,true,1.5379300000000002,0.342645,2.276219,1.308492,0.738289,0.965847,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-61fda9f,qmof-61fda9f,ABIFAT01_FSR,Mn2C36H32N4O12,MnC18H16N2O6,,,[OH2][Mn][OH2],[O-]C(=O)c1ccccc1C(=O)[O-],[O-]C(=O)c1ccccc1C(=O)[O-].[OH2][Mn][OH2],,86,0.95714,1.95651,1.6763390233367805,814.782351490517,P-1,2,triclinic,-1,true,CSD,https://doi.org/10.1016/j.ica.2004.12.011,PBE-D3BJ,Mn_pv 02Aug2007,H 15Jun2001,C 08Apr2002,N 08Apr2002,O 08Apr2002,520,3,2,1,true,true,-586.61105148,-7.47562,-579.13543148,10,0.9753149999999997,2.469117,1.493802,false,1.127646,2.6029319999999996,2.621448,2.469117,1.493802,-0.133815,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4e42f7a,qmof-4e42f7a,ABIGEZ_FSR,Co2C36H24N4S4,CoC18H12N2S2,,,,,,,70,0.79019,1.61452,1.8929073144874478,665.5894098948776,P2_1/c,14,monoclinic,2/m,true,CSD,https://doi.org/10.1039/c1cc12852c,PBE-D3BJ,Co 02Aug2007,H 15Jun2001,C 08Apr2002,S 06Sep2000,N 08Apr2002,520,5,1,1,true,true,-483.96689147,-8.0874,-475.87949147,2,0.387327,3.557915,3.170588,true,0.5800190000000001,0.8013209999999997,3.750607,3.557915,3.170588,2.756594,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-96c06cd,qmof-96c06cd,ABUSOG_FSR,Mn2C56H32N20,MnC28H16N10,,,[Mn],N#C[C](C#N)C#N,N#C[C](C#N)C#N.[Mn],,110,0.94754,1.8811,1.5660827143506186,1160.8987072104912,P2_1,4,monoclinic,2,true,CSD,https://doi.org/10.1016/j.ica.2004.06.001,PBE-D3BJ,Mn_pv 02Aug2007,H 15Jun2001,C 08Apr2002,N 08Apr2002,,520,3,1,1,true,true,-806.77041668,-10.52425,-796.24616668,0,0.28811699999999996,1.661364,1.373247,true,0.28811699999999996,0.2884460000000002,1.661364,1.661431,1.373247,1.372985,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e7503d8,qmof-e7503d8,ACETCO_FSR,CoC10H20O12S4,CoC10H20O12S4,,,[OH2][Co]([OH2])([OH2])[OH2],[O-]C(=O)CSC(C(SCC(=O)O)SCC(=O)[O-])SCC(=O)O,[O-]C(=O)CSC(C(SCC(=O)O)SCC(=O)[O-])SCC(=O)O.[OH2][Co]([OH2])([OH2])[OH2],,47,1.45426,2.24223,1.76162096763044,489.6456244916517,P-1,2,triclinic,-1,true,CSD,,PBE-D3BJ,Co 02Aug2007,H 15Jun2001,C 08Apr2002,S 06Sep2000,O 08Apr2002,520,4,2,1,true,true,-274.24784197,-3.85292,-270.39492197000004,3,0.5088769999999999,1.495496,0.986619,false,3.5167150000000005,0.5088769999999999,4.151836,1.495496,0.635121,0.986619,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ea15ac0,qmof-ea15ac0,ACODAA_FSR,Fe2C12H8N8,FeC6H4N4,N1=NC=C([CH]1)C1=CN=N[CH]1.[Fe] MOFid-v1.pts.cat0,Fe.JLWIIUHQFSVWIJ.MOFkey-v1.pts,[Fe],N1=NC=C([CH]1)C1=CN=N[CH]1,N1=NC=C([CH]1)C1=CN=N[CH]1.[Fe],pts,30,5.89895,6.40381,1.0694124706967334,583.7369907196579,P4_2/mmc,131,tetragonal,4/mmm,true,CSD,https://doi.org/10.1021/acs.inorgchem.7b01818,PBE-D3BJ,Fe 06Sep2000,H 15Jun2001,C 08Apr2002,N 08Apr2002,,520,3,2,2,true,true,-219.78817039,-1.99273,-217.79544039,8,0.041971000000000036,-0.487891,-0.529862,false,3.507673,0.041971000000000036,1.923005,-0.487891,-1.584668,-0.529862,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-4e93a90,qmof-4e93a90,ACOHUW01_FSR,Mn2C16H14N2O10,MnC8H7NO5,,,[OH2][Mn],Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Mn],,44,1.50277,2.92689,1.7615024009566516,475.2687759698362,P-1,2,triclinic,-1,true,CSD,https://doi.org/10.1080/0095897050044096,PBE-D3BJ,Mn_pv 02Aug2007,H 15Jun2001,C 08Apr2002,N 08Apr2002,O 08Apr2002,520,3,2,2,true,true,-306.94225053,-3.75938,-303.18287053,10,1.4613649999999998,2.398974,0.937609,true,1.538713,2.682946,2.476322,2.398974,0.937609,-0.283972,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9f5070f,qmof-9f5070f,ACOVEU_FSR,Co2C8H8O12,CoC4H4O6,,,,,,,30,0.8728,1.45219,2.600418435871212,264.3716731002638,I222,23,orthorhombic,222,true,CSD,https://doi.org/10.1002/chem.200501351,PBE-D3BJ,Co 02Aug2007,H 15Jun2001,C 08Apr2002,O 08Apr2002,,520,4,2,2,false,true,-199.76231451,-2.80276,-196.95955451,6,0.44109599999999993,3.190099,2.749003,false,3.0808750000000003,0.44109599999999993,5.118405,3.190099,2.03753,2.749003,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f444b48,qmof-f444b48,ADADEP_FSR,NiC14H16N14O2,NiC14H16N14O2,,,[Ni],n1cnn(c1)CCn1ncnc1,[Ni].n1cnn(c1)CCn1ncnc1,,47,1.22063,2.74955,1.6113810479024044,485.433442115872,C2/m,12,monoclinic,2/m,true,CSD,https://doi.org/10.1080/00958970500358672,PBE-D3BJ,Ni 02Aug2007,H 15Jun2001,C 08Apr2002,N 08Apr2002,O 08Apr2002,520,3,2,2,true,false,-320.87588714,-3.63586,-317.24002714,0,1.0942570000000003,2.200038,1.105781,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
