MOF,n_metal,n_unique_metal,n_unique_ox_state,min_max_proba,max_max_proba,metal,ox_state,LS,tot_LS,HS,total_M_HS,IS,toal_M_IS
qmof-00019ff,1,1,1,0.831602864625245,0.831602864625245,Co,2,1,1,3,3,,
qmof-002580c,2,1,1,0.965043586021808,0.965043586021808,Co,2,1,2,3,6,,
qmof-00717e8,4,1,1,0.974666860594816,0.978673127122947,Co,2,1,4,3,12,,
qmof-0074d70,2,1,1,0.859704573290321,0.859704573290321,Co,2,1,2,3,6,,
qmof-00caa56,2,1,1,0.98107687331301,0.98107687331301,Co,2,1,2,3,6,,
qmof-00cb461,10,1,1,0.902460210560402,0.991980027365845,Co,2,1,10,3,30,,
qmof-00f4cb5,1,1,1,0.891288289455997,0.891288289455997,Co,2,1,1,3,3,,
qmof-00f576b,2,1,1,0.985659714423491,0.985659714423491,Co,2,1,2,3,6,,
qmof-0138985,4,1,1,0.981091941033892,0.981091941033892,Co,2,1,4,3,12,,
qmof-015591d,1,1,1,0.835745657675083,0.835745657675083,Co,2,1,1,3,3,,
qmof-015ecfe,1,1,1,0.832331971672615,0.832331971672615,Co,2,1,1,3,3,,
qmof-01abf66,2,1,1,0.536378374671042,0.564968111277064,Co,2,1,2,3,6,,
qmof-01f1640,2,1,1,0.957457732729892,0.957457732729892,Co,2,1,2,3,6,,
qmof-02d00ee,4,1,1,0.921511176281772,0.988444794320716,Co,2,1,4,3,12,,
qmof-03cca0a,4,1,1,0.981877898020295,0.981877898020295,Co,2,1,4,3,12,,
qmof-03d42ea,1,1,1,0.863528074676821,0.863528074676821,Co,2,1,1,3,3,,
qmof-03d685b,2,1,1,0.963446408096153,0.963446408096153,Co,2,1,2,3,6,,
qmof-03dde57,2,1,1,0.988594575060739,0.988594575060739,Co,2,1,2,3,6,,
qmof-0410c7c,2,1,1,0.742823525907647,0.980209221417788,Co,2,1,2,3,6,,
qmof-041ffc3,2,1,1,0.894686244956024,0.907683769611543,Co,2,1,2,3,6,,
qmof-043d57a,2,1,1,0.932781277544427,0.932781277544427,Co,2,1,2,3,6,,
qmof-044ea75,2,1,1,0.981435667863846,0.981435667863846,Co,2,1,2,3,6,,
qmof-0454c23,1,1,1,0.859652103708403,0.859652103708403,Co,2,1,1,3,3,,
qmof-04a25d2,2,1,1,0.979217337833152,0.979318496498509,Co,2,1,2,3,6,,
qmof-04b3678,1,1,1,0.60703535693159,0.60703535693159,Co,2,1,1,3,3,,
qmof-04c8310,4,1,1,0.96117753990615,0.96117753990615,Co,2,1,4,3,12,,
qmof-04e078a,4,1,1,0.988267297464339,0.988267297464339,Co,2,1,4,3,12,,
qmof-04f1cc1,4,1,1,0.979958785695453,0.979958785695453,Co,2,1,4,3,12,,
qmof-053334d,1,1,1,0.86131648795742,0.86131648795742,Co,2,1,1,3,3,,
qmof-0567912,3,1,1,0.884487667498015,0.989457350351014,Co,2,1,3,3,9,,
qmof-06bc0e5,4,1,1,0.985953609759867,0.985953609759867,Co,2,1,4,3,12,,
qmof-06ddc1e,1,1,1,0.793804683949618,0.793804683949618,Co,2,1,1,3,3,,
qmof-07498ac,5,1,1,0.930809740804767,0.991397337290099,Co,2,1,5,3,15,,
qmof-07f6650,2,1,1,0.961359338579138,0.961359338579138,Co,2,1,2,3,6,,
qmof-0842c6d,6,1,1,0.972024235938053,0.987893972876516,Co,2,1,6,3,18,,
qmof-08ad004,6,1,1,0.961484036065729,0.961770591578163,Co,2,1,6,3,18,,
qmof-090ef1e,4,1,1,0.963154534422856,0.963154534422856,Co,2,1,4,3,12,,
qmof-096b649,2,1,1,0.981091941033892,0.981091941033892,Co,2,1,2,3,6,,
qmof-096fa3d,4,1,1,0.935338022122512,0.958010312920349,Co,2,1,4,3,12,,
qmof-098256e,2,1,1,0.974151928234251,0.974151928234251,Co,2,1,2,3,6,,
qmof-099dbbd,1,1,1,0.911979858772645,0.911979858772645,Co,2,1,1,3,3,,
qmof-0ab76f3,4,1,1,0.78739812045091,0.886767071310887,Co,2,1,4,3,12,,
qmof-0b7af5b,1,1,1,0.697577397973695,0.697577397973695,Co,2,1,1,3,3,,
