mof_id,prediction,DFT (unrelaxed),metal_x,n_atoms,Q0.05,Q0.95,Uncertainty
qmof-015ecfe,-0.965441182,0.895735929,Co,27,-2.338511545,1.322547931,3.661059476
qmof-852524d,0.689445755,0.857190065,Co,27,-1.772882313,1.727147461,3.500029774
qmof-b808abd,-0.172561598,0.998865918,Ni,31,-1.952208807,1.390102775,3.342311582
qmof-3a8fabc,0.72920079,-0.682780324,Co,32,-1.916561009,2.157109633,4.073670642
qmof-dbedd04,0.42374961,0.992666566,Co,34,-1.479750542,2.157109633,3.636860175
qmof-f07f203,-0.638067287,-0.374508649,Co,35,-1.99181109,0.559827547,2.551638637
qmof-849cda5,-0.236912159,0.612495349,Co,37,-1.99181109,1.371141475,3.362952565
qmof-8aa3a8e,0.575294293,1.049869836,Co,37,-1.994783702,2.157109633,4.151893335
qmof-687e4d6,0.066797158,1.032371027,Co,41,-1.776525972,1.80415722,3.580683191
qmof-4ee0d95,1.160701207,1.498229121,Co,42,-1.861516986,2.157109633,4.018626619
qmof-cc4910d,0.234502903,1.067723643,Co,45,-2.051856186,2.157109633,4.208965819
qmof-ce36f66,0.449404759,0.725501713,Co,45,-1.962178663,2.157109633,4.119288296
qmof-41cbe0b,0.331501129,0.685765,Co,47,-1.479750542,2.157109633,3.636860175
qmof-1c152b7,0.460265702,0.715503253,Co,49,-2.046069568,2.157109633,4.203179201
qmof-fd921b0,-0.353419627,0.404374441,Co,50,-2.002869626,2.157109633,4.159979259
qmof-4f2905b,0.139181902,0.986441813,Co,53,-2.051263338,1.785580777,3.836844115
qmof-7787227,-0.327868422,0.483977699,Co,58,-2.357953017,1.599047288,3.957000305
qmof-ab5d6dc,0.994571366,1.490662457,Co,58,-1.391378628,2.157109633,3.548488261
qmof-f47b0d0,0.07096423,2.081699487,Co,58,-1.919119634,1.729483626,3.64860326
qmof-923ce21,-0.020718561,-0.377036836,Co,59,-1.772861116,2.157109633,3.929970749
qmof-2e6cac6,0.549483914,,Co,61,-1.33853081,2.157109633,3.495640443
qmof-458a962,-0.114851563,0.750729744,Co,61,-1.853058266,2.184680486,4.037738752
qmof-110e680,0.813927944,0.321345934,Co,62,-1.77286,2.157109633,3.929969633
qmof-f1d2d60,0.343378748,-0.933239478,Co,63,-2.212981814,2.184680486,4.3976623
