mof_id,rac_0,rac_1,rac_2,rac_3,rac_4,rac_5,rac_6,rac_7,rac_8,rac_9,rac_10,rac_11,rac_12,rac_13,rac_14,rac_15,rac_16,rac_17,rac_18,rac_19,rac_20,rac_21,rac_22,rac_23,rac_24,rac_25,rac_26,rac_27,rac_28,rac_29,rac_30,rac_31,rac_32,rac_33,rac_34,rac_35,rac_36,rac_37,rac_38,rac_39,rac_40,rac_41,rac_42,rac_43,rac_44,rac_45,rac_46,rac_47,rac_48,rac_49,rac_50,rac_51,rac_52,rac_53,rac_54,rac_55,rac_56,rac_57,rac_58,rac_59,rac_60,rac_61,rac_62,rac_63,rac_64,rac_65,rac_66,rac_67,rac_68,rac_69,rac_70,rac_71,rac_72,rac_73,rac_74,rac_75,rac_76,rac_77,rac_78,rac_79,rac_80,rac_81,rac_82,rac_83,rac_84,rac_85,rac_86,rac_87,rac_88,rac_89,rac_90,rac_91,rac_92,rac_93,rac_94,rac_95,rac_96,rac_97,rac_98,rac_99,rac_100,rac_101,rac_102,rac_103,rac_104,rac_105,rac_106,rac_107,rac_108,rac_109,rac_110,rac_111,rac_112,rac_113,rac_114,rac_115,rac_116,rac_117,rac_118,rac_119,rac_120,rac_121,rac_122,rac_123,rac_124,rac_125,rac_126,rac_127,rac_128,rac_129,rac_130,rac_131,rac_132,rac_133,rac_134,rac_135,rac_136,rac_137,rac_138,rac_139,rac_140,rac_141,rac_142,rac_143,rac_144,rac_145,rac_146,rac_147,rac_148,rac_149,rac_150,rac_151,rac_152,rac_153,rac_154,rac_155,prediction,metal_x,CN_metal_x,CN_metal_round,formula,volume,density,n_atoms,metal_y,CN_metal_y,spacegroup,spg_number
qmof-d1c7a8a,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,150,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,47,0,3.14,6.5,7.56,146.7305,276.624,439.3394,501.4544,650,1224,1730,1652,20,40,62,72,102,242,306,304,8.822,19.6504,27.7254,28.9896,10.1056,13.26,26.12186667,24.01733333,54,72,102.6666667,99.33333333,1,1.666666667,3.333333333,2.833333333,3,9,12.16666667,9.666666667,0.552633333,0.957366667,1.505,1.301216667,45.87,131.4566667,185.290152,136.7359703,0,0.95,2.07,1.33,0,2,10,7,0,0,0,0,0,-2,-0.833333333,-0.833333333,0,-0.04,0.466666667,0.36,0,-7.2,-3.342813333,-1.00711,11.8336,14.792,20.8808,34.11715556,64,58.66666667,106.6666667,126.2222222,1,1.777777778,2.333333333,3.888888889,3.333333333,7.555555556,11.44444444,12.66666667,0.5329,0.804622222,1.240188889,1.647366667,28.09,82.46956644,124.6761518,144.5214364,0,1.815555556,1.956666667,3.46,0,6.888888889,5.333333333,15.33333333,0,0,0,0,0,-0.777777778,-2,0.333333333,0,0.195555556,0.004444444,0.582222222,0,-6.138073333,-11.15713556,-6.657084444,0.494686071,Co,6,6,Co2 H40 C38 N4 O18,959.1829629,1.659541251,102,Co,6,P-1,2
qmof-145a0bf,3.5344,37.2992,38.352,61.5888,729,1242,1296,1620,1,6,8,12,36,84,144,144,1.5876,5.5692,7.7616,9.4248,0,-8.56,-5.36,-10.2,0,116,168,264,0,0,0,0,0,22,24,48,0,3.14,3.92,7.64,60.3394,83.181,117.5104,94.6688,328,456,640,512,6,10,12,8,22,42,28,8,3.3174,5.6826,6.6284,4.2632,10.5376,12.138,24.7428,22.9296,56.5,66,105,109.5,1,1.5,3,2.5,2.5,7.5,10,8,0.5477,0.85855,1.4025,1.24915,41.425,113.565,160.962614,128.386307,0,0.935,1.775,0.91,0,2,8,4,0,0,0,0,0,-2,-1,-0.5,0,-0.04,0.34,0.17,0,-6.9,-4.00711,-2.453555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.295682468,Co,6,6,Co2 H28 C40 N4 O8,882.8189756,1.524583445,82,Co,6,Cc,9
qmof-f47b0d0,3.5344,34.2912,38.352,48.9928,729,1134,1296,1188,1,6,8,10,36,84,120,120,1.5876,5.67,7.7616,7.5852,0,-6.96,-5.36,-7.26,0,120,168,226,0,0,0,0,0,22,28,40,0,3.06,3.92,6.58,40.7298,62.016,49.9714,31.008,219,336,268,168,5,8,6,4,14,24,16,8,2.8733,4.62,3.4358,2.31,9.2416,11.628,19.8056,10.564,49,63,77,28,1,1.5,2.5,1.5,2.5,7,9,3,0.5625,0.86625,1.12875,0.56625,54.76,125.43,129.922614,75.162614,0,0.735,1.085,1.085,0,1.5,6.5,6.5,0,0,0,0,0,-1.5,-0.5,0.5,0,-0.03,0.37,0.37,0,-5.85,0.94289,0.94289,9.2416,18.848,24.4264,3.344,49,87.5,101.5,3.5,1,2.5,3,0.5,6.5,14.5,12.5,1.5,0.5625,1.29375,1.41,0.13875,54.76,183.916307,157.302614,16.676307,0,1.4,1.085,0.42,0,5,6.5,3,0,0,0,0,0,1,3.5,1,0,0.15,0.37,0.19,0,-6.353555,0.94289,1.446445,0.07096423,Co,6,6,Co2 H16 C20 N20,621.9566318,1.747002047,58,Co,6,P2_1/c,14
qmof-4c69dae,3.5344,37.2992,33.558,63.0364,729,1242,1134,1674,1,6,7,13,36,84,126,174,1.5876,5.5692,6.7914,10.4958,0,-8.56,-4.69,-9.09,0,116,147,289,0,0,0,0,0,22,21,49,0,3.14,3.43,8.05,149.6588,311.916,481.6752,570.627,617,1320,1836,1824,23,48,74,92,122,300,418,442,9.8383,23.3464,33.6842,37.04,10.9696,11.016,23.36373333,18.73866667,59,60,107.3333333,82.66666667,1,1.333333333,2.666666667,2.333333333,2,6,8,7.333333333,0.542766667,0.759733333,1.3,1.126966667,36.98,95.67333333,136.635076,129.9617427,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.333333333,-2.333333333,0,-0.04,0.213333333,0.193333333,0,-6.6,-4.671406667,-7.371406667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.753454202,Co,6,6,Co8 H128 C192 N16 O32,4950.05186,1.22195082,376,Co,6,Pbca,61
qmof-852524d,3.5344,34.2912,47.94,42.676,729,1134,1620,2052,1,6,10,10,36,96,168,60,1.5876,5.67,9.702,6.6528,0,-6.96,-6.7,-3.9,0,120,210,194,0,0,0,0,0,20,32,50,0,3.06,4.9,7.32,63.8532,132.906,186.41,162.2372,246,528,584,350,10,20,28,26,48,108,124,88,4.0442,9.2708,11.4908,8.5434,9.2416,11.628,18.316,11.3088,49,63,168,31.5,1,1.5,2.5,1.5,2.5,7,8.5,4,0.5625,0.86625,1.29,0.55875,54.76,125.43,223.902614,60.732614,0,0.735,1.575,0.84,0,1.5,-6.5,6,0,0,0,0,0,-1.5,0,1,0,-0.03,0.155,0.38,0,-5.85,-11.75711,2.89289,3.25125,3.25125,3.876,0,578,102,119,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0.6728,0.4466,0.435,0,417.605,163.285,106.93,0,0,0,-0.245,0,0,14,13.5,0,0,0,0,0,0,-0.5,0,0,0,0.195,0.205,0,0,8.8,10.75,0,0.689445755,Co,6,6,Co1 H8 C10 Se2 N6,320.5130467,2.2229279,27,Co,6,P-1,2
qmof-7bea0fe,3.5344,37.2992,45.308,53.3168,729,1242,1080,1566,1,6,10,10,36,96,144,144,1.5876,5.5692,7.686,8.4924,0,-8.56,-5.3,-9.56,0,116,230,212,0,0,0,0,0,20,36,36,0,3.14,6.5,5.86,113.9688,221.952,354.8242,425.0334,471,924,1294,1296,17,34,54,66,88,214,278,266,7.1929,16.3086,23.689,25.2018,10.9696,8.432,21.1344,30.0048,59,46,105,140,1,1,2.333333333,3.333333333,1,3.333333333,5.666666667,6,0.542766667,0.567233333,1.2075,1.6698,36.98,67.8,125.517538,163.8917887,0,0.756666667,1.2,1.746666667,0,1.666666667,4,6.666666667,0,0,0,0,0,-2.333333333,-3.333333333,-2.666666667,0,-0.033333333,0.086666667,0.2,0,-5.3,-5.635703333,-6.071406667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110887526,Co,6,6,Co2 H32 C32 N4 O8,690.874735,1.726900893,78,Co,6,P-1,2
qmof-6e18d70,3.5344,37.2992,33.558,63.0364,729,1242,1134,1674,1,6,7,13,36,84,126,174,1.5876,5.5692,6.7914,10.4958,0,-8.56,-4.69,-9.09,0,116,147,289,0,0,0,0,0,22,21,49,0,3.14,3.43,8.05,150.66185,308.1675,489.3857,556.897,596,1248,1697,1654,23,47,75,89,122,295,397,423,9.3523,22.0759,31.5831,34.2461,10.5376,12.138,24.7428,19.336,56.5,66,105,76,1,1.5,3,2.5,2.5,7.5,10,8,0.5477,0.85855,1.4025,1.12835,41.425,113.565,160.962614,135.052614,0,0.935,1.775,1.975,0,2,8,8.5,0,0,0,0,0,-2,-1,-1.5,0,-0.04,0.34,0.33,0,-6.9,-4.00711,-5.05711,5.9168,8.772,20.124,16.34,32,48,60,56,0.5,1,2.5,2,2,7,9,8,0.26645,0.5621,0.96725,0.8322,14.045,59.89,95.7215245,83.777683,0,0.89,2.75,2.13,0,2,12.5,9,0,0,0,0,0,-1.5,0.5,0,0,-0.04,0.5,0.32,0,-6,-4.810665,-5.20711,-0.797418211,Co,6,6,Co2 H36 C42 N4 O10,945.0801918,1.536742308,94,Co,6,P-1,2
qmof-053334d,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,156,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,46,0,3.14,6.5,7.56,125.0694,224.961,387.7704,481.079,480,840,1128,896,18,34,60,78,94,232,276,240,6.7842,14.9842,21.5836,22.499,10.1056,13.26,26.12186667,22.764,54,72,102.6666667,82,1,1.666666667,3.333333333,3,3,9,12.33333333,11.33333333,0.552633333,0.957366667,1.505,1.322433333,45.87,131.4566667,185.290152,169.6168647,0,0.95,2.07,2.336666667,0,2,10,10.66666667,0,0,0,0,0,-2,-1,-1.666666667,0,-0.04,0.466666667,0.453333333,0,-7.2,-3.342813333,-4.742813333,10.1056,15.48933333,28.5336,35.32933333,54,74.33333333,154,140.3333333,1,2,3.333333333,4.666666667,4.666666667,12,20.66666667,24.33333333,0.552633333,1.049866667,1.895,2.184933333,45.87,142.5742047,233.0733333,292.227736,0,1.23,1.276666667,3.27,0,4,2.666666667,14,0,0,0,0,0,-0.666666667,-2,-1,0,0.086666667,-0.053333333,0.553333333,0,-6.235703333,-9.8,-8.978516667,0.36888503,Co,6,6,Co1 H30 C30 N6 O6,688.9616498,1.517294165,73,Co,6,P-1,2
qmof-5cbb170,3.5344,37.2992,33.558,66.7212,729,1242,1134,1782,1,6,7,13,36,84,126,162,1.5876,5.5692,6.7914,10.395,0,-8.56,-4.69,-11.05,0,116,147,285,0,0,0,0,0,22,21,51,0,3.14,3.43,8.13,154.08655,321.7802,509.7116,545.9777,649,1388,1934,1682,22.5,47,74,84,121,295,404,393,9.69385,22.8775,33.0842,33.293,10.5376,12.138,26.2324,12.648,56.5,66,112,69,1,1.5,3,1.5,2.5,7.5,9,7,0.5477,0.85855,1.3875,0.85085,41.425,113.565,132.102614,101.7,0,0.935,1.285,1.135,0,2,7,2.5,0,0,0,0,0,-2,-0.5,-3,0,-0.04,0.36,-0.05,0,-6.9,-0.10711,-7.95,4.6208,9.89824,18.34944,16.93584,24.5,53.2,75.6,50.4,0.5,1.2,2.4,2.3,3,9,13.4,9,0.28125,0.687,1.14,0.90225,27.38,88.8,148.9300912,110.4076596,0,0.392,1.26,1.421,0,0.8,6,8.9,0,0,0,0,0,-0.6,0.4,1.3,0,-0.016,0.28,0.522,0,-3.12,-2.365688,2.100046,-0.38781448,Co,6,6,Co2 H30 C38 N14 O8,978.1136914,1.576480228,92,Co,6,P-1,2
qmof-2bd31fe,3.5344,37.2992,33.558,63.0364,729,1242,1134,1674,1,6,7,13,36,84,126,174,1.5876,5.5692,6.7914,10.4958,0,-8.56,-4.69,-9.09,0,116,147,289,0,0,0,0,0,22,21,49,0,3.14,3.43,8.05,215.4709,435.2787,704.346,876.85,859,1758,2430,2500,32,65,107,140,172,428,577,597,12.9568,30.4095,44.5739,50.314,10.5376,12.138,24.7428,19.868,56.5,66,105,93.5,1,1.5,3,2.5,2.5,7.5,10,10,0.5477,0.85855,1.4025,1.27835,41.425,113.565,160.962614,160.186307,0,0.935,1.775,1.8,0,2,8,6,0,0,0,0,0,-2,-1,-2.5,0,-0.04,0.34,0.13,0,-6.9,-4.00711,-8.453555,10.7536,16.00473333,24.09433333,28.29033333,57.75,79.08333333,115.8333333,121.3333333,1,1.833333333,2.75,3.583333333,4.333333333,10.25,13.33333333,17.75,0.545233333,0.9599,1.399275,1.720708333,39.2025,105.2039868,150.268807,209.1982658,0,0.759166667,1.3475,2.801666667,0,2.666666667,5,10.66666667,0,0,0,0,0,-0.25,-0.416666667,-1.666666667,0,0.071666667,0.15,0.328333333,0,-3.3767775,-5.303555,-10.11603583,-0.939004575,Co,6,6,Co2 H50 C52 N10 O16,1304.071557,1.513856361,130,Co,6,P-1,2
