cif_file,formula,volume,density,n_atoms,metal,CN_metal,spacegroup,spg_number
qmof-3d4b29f.cif,Co2 H18 C22 N8 O8,615.3280272,1.727911523,58,Co,4,P-1,2
qmof-fe80f7d.cif,Co4 H76 C100 N12 O16,2579.963678,1.247016116,208,Co,6.5,P1,1
qmof-a5ebf1c.cif,Co2 H20 C28 N6 O10,666.9241821,1.788603863,66,Co,5,P1,1
qmof-f7d0925.cif,Ni4 H168 C122 N24 O24,3777.390887,1.13836893,342,Ni,6,P-1,2
qmof-836d0fb.cif,Ni2 H64 C92 N16 F8,2346.945868,1.176607002,182,Ni,6,P2_1/c,14
qmof-1ee372e.cif,Mn2 H32 C38 N4 O16,915.1162332,1.65226054,92,Mn,6,P1,1
qmof-e2b2f6a.cif,Mn8 H168 C136 N24 O44,3963.131797,1.375326387,380,Mn,6,P2_1/c,14
qmof-94a67e3.cif,Co1 H34 C28 N4 O8,668.1766463,1.524719295,75,Co,6,P-1,2
qmof-9ca5469.cif,Fe1 H24 C36 S4 N12 Cl2,1015.494186,1.438434318,79,Fe,6,P1,1
qmof-cb134eb.cif,Co2 H36 C34 N6 O12,855.8039154,1.627058956,90,Co,6,P-1,2
qmof-6480f30.cif,Ni4 H32 C20 N8 O28,855.599029,2.071364685,92,Ni,6,P2_12_12_1,19
qmof-8ecbd8f.cif,Mn2 H32 C32 N12 O12,883.1374222,1.666947692,90,Mn,6,P2_1/c,14
qmof-b2d1a59.cif,Ni2 H16 C20 S4 N12,614.1729152,1.811663237,54,Ni,6,P-1,2
qmof-aeb27bc.cif,Co4 H88 C128 N16 O28,3559.687622,1.182021087,264,Co,6,P2_1/c,14
qmof-b65868c.cif,Fe8 H144 C192 N32 O16,5094.459072,1.174124981,392,Fe,6,Cc,9
qmof-54ec179.cif,Fe2 H12 C28 N16 O4,763.8876522,1.626414815,62,Fe,6,P2_1/c,14
qmof-c7e08a4.cif,Mn4 H28 C24 N8 O26,919.085924,1.922846065,90,Mn,6.5,P-1,2
qmof-38716ea.cif,Co2 H28 C28 N8 O8,710.313357,1.688881441,74,Co,6,P2_1/c,14
qmof-204daad.cif,Co12 H144 C192 N24 O48,6196.038376,1.14235807,420,Co,6,P1,1
qmof-46322fa.cif,Mn2 H18 C28 N2 O14,656.3097925,1.812380912,64,Mn,6,P-1,2
qmof-12d4741.cif,Ni2 H40 C56 N4 O10,1140.162805,1.523872325,112,Ni,6,P-1,2
qmof-59b7a9f.cif,Mn6 H36 C24 O36,1019.052679,2.004519523,102,Mn,6,C2/c,15
qmof-e0d0d89.cif,Fe2 H28 C32 N4 O12,964.760321,1.32923344,78,Fe,6,P-1,2
qmof-fd921b0.cif,Co2 H16 C16 N8 O8,594.2678329,1.582147762,50,Co,6,P1,1
qmof-df4caa3.cif,Co8 H168 C224 N16 O48,5001.435879,1.435381096,464,Co,5.5,P1,1
