mof,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all
qmof-6dead95,2.4025,28.272,37.82,42.78,625,1050,1950,1500,1,6,9,10,36,96,156,138,1.9321,6.255,10.3555,10.008,0,-8.94,-10.45,-12.1,0,108,147,190,0,0,0,0,0,20,28,37,0,3.84,5.06,6.7,83.737,166.193333333333,229.435466666667,250.4338,336,675.333333333333,782.666666666667,740,12.6666666666667,24.6666666666667,36,39.3333333333333,60.6666666666667,140,174.666666666667,178,5.28073333333333,11.5872666666667,14.8294666666667,15.1442,9.2416,10.64304,12.71328,9.06832,49,56.7,65.1,34.3,1,1.2,1.5,1.2,1.6,3.8,4.8,5.2,0.5625,0.6795,0.82425,0.54,54.76,74.37,97.3152614,69.438307,0,0.147,0.378,0.665,0,0.3,1.2,3.5,0,0,0,0,0,-1.1,-0.6,-0.2,0,-0.006,0.026,0.18,0,-1.17,-2.050711,-0.503555,7.39328,12.93824,1.84832,0,39.2,68.6,9.8,0,0.8,1.4,0.2,0,2.6,2.8,0.2,0,0.45,0.7875,0.1125,0,43.808,76.664,10.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
qmof-fe81804,3.5344,38.8032,35.72,45.0448,729,1296,756,1512,1,6,8,8,36,84,96,120,1.5876,5.5188,5.7456,7.56,0,-9.36,-3.96,-8.92,0,114,188,160,0,0,0,0,0,22,32,28,0,3.18,5.52,4.08,164.0844,315.996,479.1004,562.905,696,1344,1840,1632,24,48,72,90,120,288,376,394,10.3416,23.2848,32.3464,34.5642,11.8336,8.772,20.6056,16.34,64,48,112,56,1,1,2,2,1,3,4,4,0.5329,0.5621,1.095,0.8322,28.09,59.89,87.98,83.777683,0,0.89,0.89,2.13,0,2,2,9,0,0,0,0,0,-2,-2,-2,0,-0.04,-0.04,0.32,0,-6,-6,-5.20711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qmof-6cf875d,3.5344,37.2992,38.352,62.9048,729,1242,1296,1890,1,6,8,12,36,84,144,144,1.5876,5.5692,7.7616,10.4328,0,-8.56,-5.36,-10.9,0,116,168,254,0,0,0,0,0,22,24,48,0,3.14,3.92,6.84,114.5126,206.652,311.7464,327.225,572,1032,1484,1512,14,28,40,42,68,156,192,184,7.0878,14.9996,20.5512,20.7642,10.9696,11.016,23.7184,27.6853333333333,59,60,119,139.333333333333,1,1.33333333333333,2.66666666666667,3,2,6,9.33333333333333,8.66666666666667,0.542766666666667,0.759733333333333,1.4,1.57723333333333,36.98,95.6733333333333,153.390871333333,149.464204666667,0,0.92,1.36333333333333,1.03666666666667,0,2,4.33333333333333,3.66666666666667,0,0,0,0,0,-2,-2,-1.33333333333333,0,-0.04,0.08,0.093333333333333,0,-6.6,-6.93570333333333,-4.33570333333333,10.9696,11.016,23.7184,27.6853333333333,59,60,119,139.333333333333,1,1.33333333333333,2.66666666666667,3,2,6,9.33333333333333,8.66666666666667,0.542766666666667,0.759733333333333,1.4,1.57723333333333,36.98,95.6733333333333,153.390871333333,149.464204666667,0,0.92,1.36333333333333,1.03666666666667,0,2,4.33333333333333,3.66666666666667,0,0,0,0,0,-2,-2,-1.33333333333333,0,-0.04,0.08,0.093333333333333,0,-6.6,-6.93570333333333,-4.33570333333333
qmof-e0aad2e,2.4025,34.627,21.6483333333333,59.2616666666667,625,1300,1533.33333333333,2233.33333333333,1,6.66666666666667,6,12.6666666666667,44.6666666666667,107.333333333333,148,213.333333333333,1.9321,6.80173333333333,7.57086666666667,13.1864666666667,0,-12.0066666666667,-4.66666666666667,-18.6,0,114.666666666667,88.6666666666667,227.333333333333,0,0,0,0,0,28.6666666666667,16.6666666666667,50,0,4.37333333333333,2.89333333333333,8.12,472.7457,966.144000000001,1600.3668,2054.112,1980,4128,6072,6768,69,144,236,312,380,952,1376,1560,29.2461,69.608,104.7596,125.9544,11.2412555555556,10.4691666666667,19.7610888888889,18.2863333333333,60.8888888888889,57.3333333333333,107.555555555556,94.6666666666667,1,1.22222222222222,2,2.22222222222222,1.88888888888889,4.33333333333333,5.55555555555556,8,0.539566666666667,0.690433333333333,1.10508888888889,1.19435555555556,39.1566666666667,80.7322222222222,106.58,146.164520666667,0,0.593333333333333,0.791111111111111,1.66,0,1.33333333333333,1.77777777777778,4.66666666666667,0,0,0,0,0,-1.33333333333333,-1.77777777777778,-3.11111111111111,0,-0.026666666666667,-0.035555555555556,0.017777777777778,0,-4,-5.33333333333333,-9.15713555555556,11.8336,17.544,41.452,58.996,64,96,160,256,1,2,5,7,4,14,24,40,0.5329,1.1242,2.2265,3.3507,28.09,119.78,227.445366,347.225366,0,1.78,5.15,6.93,0,4,20,24,0,0,0,0,0,-3,-2,-6,0,-0.08,0.6,0.52,0,-12,-16.41422,-28.41422
qmof-5811114,3.3489,30.012,36.5268,66.3741,676,988,1508,2548,1,5,8,13,25,65,110,155,1.5625,4.6125,7.375,11.8625,0,-7.25,-5.32,-12.48,0,92,150,240,0,0,0,0,0,12,18,34,0,2.56,4.1,6.76,149.0817,297.7238,505.263,507.429,858,1922,2364,2040,21,44,70,78,114,278,386,382,9.9744,23.7088,34.1554,34.1046,10.5376,12.2636,28.0604,15.992,56.5,105.5,137,72.5,1,1.5,3,2,2.5,7,9.5,7,0.5477,0.9569,1.5227,0.9896,41.425,135.44,143.901307,118.376307,0,0.87,1.11,1.555,0,-3,4.5,5.5,0,0,0,0,0,-2,-1.5,-2,0,-0.175,0.16,0.14,0,-11.8,-3.503555,-6.503555,8.62376666666667,19.6583,30.3238,22.4096666666667,112.666666666667,232,184,134.666666666667,1,2.66666666666667,3.66666666666667,3.33333333333333,8.66666666666667,18.3333333333333,21.6666666666667,20.6666666666667,0.739666666666667,1.8813,2.03176666666667,1.75033333333333,235.95,354.453333333333,341.511742666667,381.360242666667,0,-0.463333333333333,0.943333333333334,1.23333333333333,0,8.66666666666667,11.3333333333333,21.3333333333333,0,0,0,0,0,2.33333333333333,2,2.66666666666667,0,0.296666666666667,0.42,0.866666666666667,0,13.8,6.46192666666667,18.1238533333333
qmof-b46c893,2.4025,31.992,26.5825,41.0905,625,1200,800,1550,1,6,7,9,36,78,102,126,1.9321,6.0882,6.3801,9.4103,0,-11.34,-6.3,-12.56,0,102,143,163,0,0,0,0,0,23,25,33,0,3.96,5.14,5.74,236.077,491.9345,830.8808,1067.2163,959,2048,3017,3421,35,74,126,167,203,529,742,816,14.4935,35.436,54.3656,64.9009,11.8336,8.772,19.8402,21.93,64,48,108,120,1,1,2,2.5,1,3,4.5,7.5,0.5329,0.5621,1.1023,1.40525,28.09,59.89,95.93,149.725,0,0.89,1.1125,2.225,0,2,2.5,5,0,0,0,0,0,-2,-2.5,-5,0,-0.04,-0.05,-0.1,0,-6,-7.5,-15,11.45668,13.8173,28.84296,36.10036,61.2,69.2,127.2,150.7,1,1.7,3.5,4.4,4.1,12.4,19.4,18.8,0.5389,0.90943,1.68639,2.04518,34.68076,113.7267228,194.525014,225.30391874,0,1.237,2.4215,3.447,0,3.5,9.4,13.8,0,0,0,0,0,-1.1,-0.1,-0.6,0,0.03,0.312,0.474,0,-6.897422,-8.00911,-10.078665
qmof-d1c7a8a,3.5344,37.2992,45.308,58.2424,729,1242,1080,1512,1,6,10,12,36,96,132,150,1.5876,5.5692,7.686,9.5256,0,-8.56,-5.3,-8.42,0,116,230,268,0,0,0,0,0,20,38,47,0,3.14,6.5,7.56,146.7305,276.624,439.3394,501.4544,650,1224,1730,1652,20,40,62,72,102,242,306,304,8.822,19.6504,27.7254,28.9896,10.1056,13.26,26.1218666666667,24.0173333333333,54,72,102.666666666667,99.3333333333333,1,1.66666666666667,3.33333333333333,2.83333333333333,3,9,12.1666666666667,9.66666666666667,0.552633333333333,0.957366666666667,1.505,1.30121666666667,45.87,131.456666666667,185.290152,136.735970333333,0,0.95,2.07,1.33,0,2,10,7,0,0,0,0,0,-2,-0.833333333333333,-0.833333333333333,0,-0.04,0.466666666666667,0.36,0,-7.2,-3.34281333333333,-1.00711,11.8336,14.792,20.8808,34.1171555555555,64,58.6666666666667,106.666666666667,126.222222222222,1,1.77777777777778,2.33333333333333,3.88888888888889,3.33333333333333,7.55555555555556,11.4444444444444,12.6666666666667,0.5329,0.804622222222222,1.24018888888889,1.64736666666667,28.09,82.4695664444445,124.676151777778,144.521436444444,0,1.81555555555556,1.95666666666667,3.46,0,6.88888888888889,5.33333333333333,15.3333333333333,0,0,0,0,0,-0.777777777777778,-2,0.333333333333333,0,0.195555555555555,0.004444444444444,0.582222222222222,0,-6.13807333333333,-11.1571355555556,-6.65708444444445
qmof-0e1dfe7,3.6481,35.0421333333333,38.0153666666667,90.6995333333334,784,1194.66666666667,3490.66666666667,3098.66666666667,1,5.33333333333333,9,14.6666666666667,28.6666666666667,86.6666666666667,172.666666666667,210.333333333333,1.4641,4.71093333333333,9.36943333333333,13.1164,0,-8.16,-2.71333333333333,-19.4733333333333,0,106.666666666667,127.333333333333,300,0,0,0,0,0,12.6666666666667,16.6666666666667,39.6666666666667,0,2.56,3.14666666666667,6.90666666666667,291.6393,515.814,947.0332,1151.846,1362,2424,4324,4880,35,72,120,160,192,484,714,868,16.3307,36.96,59.1856,74.276,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,15.8404,10.149,41.8298,30.447,81,54,216,162,1,1,3,3,1,4,6,10,0.5041,0.5467,1.5549,1.6401,13.9876,42.262,70.2372,126.786,0,1.43,1.43,4.29,0,3,3,9,0,0,0,0,0,-3,-3,-7,0,-0.06,-0.06,-0.18,0,-7.56,-7.56,-22.68
qmof-0d15be0,2.4025,30.752,27.6675,45.1515,625,1150,1050,1500,1,6,7,11,36,84,126,162,1.9321,6.1438,7.4921,10.5501,0,-10.54,-7,-12.08,0,104,133,215,0,0,0,0,0,22,21,39,0,3.92,4.34,7.7,188.923,377.094,588.2914,717.13,832,1680,2440,2542,27,56,86,108,142,348,478,496,12.0603,27.9048,40.4006,45.0316,10.5376,12.138,25.2748,27.8328,56.5,66,122.5,121.5,1,1.5,3,3.5,2.5,7.5,12,13,0.5477,0.85855,1.5525,1.69835,41.425,113.565,186.096307,204.242614,0,0.935,1.6,2.22,0,2,5.5,9,0,0,0,0,0,-2,-2,-2,0,-0.04,0.14,0.32,0,-6.9,-7.403555,-7.00711,5.9168,8.772,17.544,33.282,32,48,96,132,0.5,1,2,4,2,6,12,18,0.26645,0.5621,1.1242,1.8104,14.045,59.89,119.78,185.5565245,0,0.89,1.78,4.085,0,2,4,15.5,0,0,0,0,0,-1,-2,-1,0,-0.04,-0.08,0.44,0,-6,-12,-13.810665
qmof-306aa03,3.5344,39.3672,43.24,58.2424,729,1255.5,1066.5,1512,1,6.5,9.5,12,43,112,139,156,1.5876,5.8023,7.4529,9.5256,0,-8.72,-5.14,-8.42,0,129,217,268,0,0,0,0,0,26,39.5,54,0,3.585,6.055,7.56,130.1513,259.896,400.3202,455.636,509,1032,1334,1127,20,40,62,75,102,245,316,321,8.0596,18.6032,25.6574,26.2727,10.5376,12.138,24.7428,18.734,56.5,66,105,56,1,1.5,3,2.5,2.5,7.5,10,7,0.5477,0.85855,1.4025,0.98235,41.425,113.565,160.962614,117.0514555,0,0.935,1.775,2.15,0,2,8,11,0,0,0,0,0,-2,-1,-0.5,0,-0.04,0.34,0.53,0,-6.9,-4.00711,-1.660665,5.9168,4.386,10.3028,8.17,32,24,56,28,0.5,0.5,1,1,0.5,1.5,2,2,0.26645,0.28105,0.5475,0.4161,14.045,29.945,43.99,41.8888415,0,0.445,0.445,1.065,0,1,1,4.5,0,0,0,0,0,-1,-1,-1,0,-0.02,-0.02,0.16,0,-3,-3,-2.603555
